ID,Text,Labels
8025_0_0,magistrat der stadt wien ma 21 stadtteilplanung und flächennutzung plandokument 8025 festsetzung des flächenwidmungsplanes und des bebauungsplanes,[]
8025_0_1,"der gemeinderat hat in seiner sitzung am 29. april 2014, pr. zl. 378-2014-gsk, den folgenden beschluss gefasst: in festsetzung des flächenwidmungsplanes und des bebauungsplanes für das im antragsplan nr. 8025 mit der rot strichpunktierten linie oder den in roter schrift als „plangebietsgrenze“ bezeichneten fluchtlinien umschriebene gebiet zwischen anton-schall-gasse und linienzug 1-4 im",[]
8025_1_0,"bezirk, kat. großjedlersdorf i werden unter anwendung des § 1 der bauordnung (bo) für wien die in den absätzen i und ii angeführten bestimmungen getroffen:",[]
8025_2_0,"die bisherigen flächenwidmungspläne und bebauungspläne verlieren, soweit sie innerhalb des gegenständlichen plangebiets liegen, ihre weitere rechtskraft.",[]
8025_3_0,gemäß § 4 und § 5 der bo für wien sowie § 48 des wiener garagengesetzes werden folgende bestimmungen getroffen:,[]
8025_4_0,bestimmungen des plans: die roten planzeichen gelten als neu festgesetzt.,[]
8025_4_1,"für die rechtliche bedeutung der planzeichen ist die beiliegende „zeichenerklärung für den flächenwidmungsplan und den bebauungsplan“ (§§ 4 und 5 der bauordnung für wien) vom 1. september 2007 maßgebend, die einen bestandteil dieses beschlusses bildet.",[]
8025_5_0,bestimmungen für die ausgestaltung der querschnitte von verkehrsflächen:,[]
8025_6_0,"für die ausgestaltung von verkehrsflächen mit einer gesamtbreite von mehr als 16,0 m, wird bestimmt: entlang der fluchtlinien sind gehsteige mit jeweils mindestens 2,0 m breite herzustellen.","['AnFluchtlinie', 'GehsteigbreiteMin', 'OeffentlicheVerkehrsflaecheBreiteMin']"
8025_6_1,"der querschnitt der anton-schall-gasse, soweit er innerhalb des plangebiets liegt, ist so auszugestalten, dass die herstellung bzw. erhaltung einer baumreihe möglich ist.","['VerkehrsflaecheID', 'VorkehrungBepflanzung']"
8025_7_0,bestimmungen ohne bezeichnung des geltungsbereichs mit dem planzeichen bb:,['Planzeichen']
8025_8_0,"für das gesamte plangebiet wird bestimmt: dächer dürfen die festgesetzte gebäudehöhe um höchstens 4,5 m überragen.","['AbschlussDachMaxBezugGebaeude', 'GebaeudeHoeheArt', 'GesamtePlangebiet']"
8025_9_0,"im bauland/wohngebiet darf die bruttogeschoßfläche aller geschoße, die ganz oder teilweise über dem anschließenden gelände liegen, insgesamt höchstens 11.500 m² betragen.",['Widmung']
8025_10_0,bestimmungen mit bezeichnung des geltungsbereichs mit dem planzeichen bb:,['Planzeichen']
8025_11_0,für die mit bb1 bezeichneten grundflächen wird bestimmt: die unterbrechung der geschlossenen bauweise ist zulässig,"['Planzeichen', 'UnterbrechungGeschlosseneBauweise']"
