text	label	label_id	graph	sen_id	labels
MAGISTRAT DER STADT WIEN MA 21 Stadtteilplanung und Flächennutzung Plandokument 8025 Festsetzung des Flächenwidmungsplanes und des Bebauungsplanes	NOT	0	(u_0 / MAGISTRAT  :0 (u_1 / STADT  :0 (u_2 / X21)  :0 (u_3 / MA)  :0 (u_4 / WIEN)))	8025_0_0	[]
Der Gemeinderat hat in seiner Sitzung am 29. April 2014, Pr. Zl. 378-2014-GSK, den folgenden Beschluss gefasst: In Festsetzung des Flächenwidmungsplanes und des Bebauungsplanes für das im Antragsplan Nr. 8025 mit der rot strichpunktierten Linie oder den in roter Schrift als „Plangebietsgrenze“ bezeichneten Fluchtlinien umschriebene Gebiet zwischen Anton-Schall-Gasse und Linienzug 1-4 im	NOT	0	(u_5 / fassen  :2 (u_6 / Gebiet  :0 (u_7 / umschrieben  :1-of (u_8 / in  :2 (u_9 / Antragsplan  :0 (u_10 / NrPERIOD  :0 (u_11 / X8025)))  :1 u_5  :2 (u_33 / Sitzung)))  :0 (u_12 / Festsetzung  :0 (u_13 / COORD  :0 (u_14 / Bebauungsplanes)  :0 (u_15 / Flaechenwidmungsplanes)  :0 (u_17 / Linienzug  :0 (u_18 / X1HYPHEN4))  :0 (u_19 / Anton)  :0 (u_20 / Gasse)  :0 (u_21 / Schall))  :0 u_8)  :1-of (u_16 / zwischen  :2 u_13)  :1-of (u_22 / fuer  :2 (u_23 / Linie  :0 (u_24 / strichpunktiert  :0 (u_25 / rot))  :0 (u_26 / mit))))  :2 (u_27 / Beschluss  :0 (u_28 / folgend))  :0 (u_29 / haben)  :1 (u_30 / Gemeinderat)  :1-of (u_31 / an  :2 (u_32 / April)))	8025_0_1	[]
Bezirk, Kat. Großjedlersdorf I werden unter Anwendung des § 1 der Bauordnung (BO) für Wien die in den Absätzen I und II angeführten Bestimmungen getroffen:	NOT	0	(u_34 / treffen  :2 (u_35 / Bestimmung  :0 (u_36 / angefuehrt  :1-of (u_8 / in  :2 (u_37 / Absatz))))  :1-of (u_38 / unter  :2 (u_39 / Anwendung  :0 (u_40 / PARAGRAPH  :0 (u_41 / Bauordnung  :0 (u_42 / BO))  :0 (u_43 / X1)  :1-of (u_22 / fuer  :2 (u_44 / Wien))))))	8025_1_0	[]
Die bisherigen Flächenwidmungspläne und Bebauungspläne verlieren, soweit sie innerhalb des gegenständlichen Plangebiets liegen, ihre weitere Rechtskraft.	NOT	0	(u_45 / verlieren  :2 (u_46 / Rechtskraft  :0 (u_47 / weit))  :0 (u_48 / liegen  :1 (u_49 / sie)  :0 (u_50 / soweit)  :1-of (u_51 / innerhalb  :2 (u_52 / Plangebiet  :0 (u_53 / gegenstaendlich))))  :1 (u_13 / COORD  :0 (u_54 / Bebauungsplan)  :0 (u_55 / Flaechenwidmungsplaene)  :0 (u_56 / bisherig)))	8025_2_0	[]
Gemäß § 4 und § 5 der BO für Wien sowie § 48 des Wiener Garagengesetzes werden folgende Bestimmungen getroffen:	NOT	0	(u_34 / treffen  :2 (u_35 / Bestimmung  :0 (u_28 / folgend))  :1-of (u_57 / gemaess  :2 (u_13 / COORD  :0 (u_40 / PARAGRAPH  :0 (u_58 / X5)  :0 (u_59 / Garagengesetz  :0 (u_60 / Wiener))  :0 (u_61 / X48))  :0 (u_42 / BO  :1-of (u_22 / fuer  :2 (u_44 / Wien))))))	8025_3_0	[]
Bestimmungen des Plans: Die roten Planzeichen gelten als neu festgesetzt.	NOT	0	(u_35 / Bestimmung  :0 (u_62 / Plan))	8025_4_0	[]
Für die rechtliche Bedeutung der Planzeichen ist die beiliegende „Zeichenerklärung für den Flächenwidmungsplan und den Bebauungsplan“ (§§ 4 und 5 der Bauordnung für Wien) vom 1. September 2007 maßgebend, die einen Bestandteil dieses Beschlusses bildet.	NOT	0	(u_63 / massgebend  :1 (u_64 / Zeichenerklaerung  :0 (u_65 / beiliegend)  :1-of (u_22 / fuer  :2 (u_13 / COORD  :0 (u_54 / Bebauungsplan)  :0 (u_66 / Flaechenwidmungsplan)  :0 (u_58 / X5)  :0 (u_67 / PARAGRAPHPARAGRAPH  :0 u_41)  :0 (u_68 / X4)  :0-of u_66)  :1 (u_41 / Bauordnung)  :2 (u_44 / Wien)  :1 u_63  :2 (u_71 / Bedeutung  :0 (u_72 / Planzeichen)  :0 (u_73 / rechtlich))))  :1-of (u_69 / von  :2 (u_70 / September)))	8025_4_1	[]
Bestimmungen für die Ausgestaltung der Querschnitte von Verkehrsflächen:	NOT	0	(u_22 / fuer  :1 (u_35 / Bestimmung)  :2 (u_74 / Ausgestaltung  :0 (u_75 / Querschnitte  :1-of (u_69 / von  :2 (u_76 / Verkehrsflaeche)))))	8025_5_0	[]
Für die Ausgestaltung von Verkehrsflächen mit einer Gesamtbreite von mehr als 16,0 m, wird bestimmt: Entlang der Fluchtlinien sind Gehsteige mit jeweils mindestens 2,0 m Breite herzustellen.	NOT	0	(u_77 / bestimmen  :2 (u_78 / herstellen  :0 (u_79 / OBL)  :2 (u_80 / Gehsteig)  :1-of (u_26 / mit  :2 (u_81 / Breite  :0 (u_82 / m  :0 (u_83 / X2COMMA0  :0 (u_84 / mindestens)  :0 (u_85 / jeweils))  :0 (u_89 / X16COMMA0  :0 (u_90 / mehr))  :0 (u_91 / als)))  :1 (u_74 / Ausgestaltung)  :2 (u_88 / Gesamtbreite  :1-of (u_69 / von  :2 u_82  :1 u_74  :2 (u_76 / Verkehrsflaeche))))  :1-of (u_86 / entlang  :2 (u_87 / Fluchtlinie)))  :1-of (u_22 / fuer  :2 u_74))	8025_6_0	['OeffentlicheVerkehrsflaecheBreiteMin', 'GehsteigbreiteMin', 'AnFluchtlinie']
Der Querschnitt der Anton-Schall-Gasse, soweit er innerhalb des Plangebiets liegt, ist so auszugestalten, dass die Herstellung bzw. Erhaltung einer Baumreihe möglich ist.	NOT	0	(u_92 / ausgestalten  :0 (u_79 / OBL)  :0 (u_93 / moeglich  :1 (u_94 / Erhaltung  :0 (u_95 / Baumreihe)  :0 (u_96 / bzw))  :1 (u_97 / Herstellung))  :0 (u_98 / so)  :0 (u_48 / liegen  :1 (u_99 / er)  :0 (u_50 / soweit)  :1-of (u_51 / innerhalb  :2 (u_52 / Plangebiet)))  :2 (u_100 / Querschnitt  :0 (u_19 / Anton  :0 (u_21 / Schall))))	8025_6_1	['VorkehrungBepflanzung', 'VerkehrsflaecheID']
